READ1	READ2	READ3	READ4
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3	11	1	0
0	0	0	0
0	2	0	0
0	0	0	0
0	1	2	1
0	0	0	0
151	240	132	236
0	0	0	0
73	93	112	130
956	1611	1267	1136
601	920	1118	1090
689	1186	610	480
628	1030	574	545
0	0	0	1
2	2	0	2
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
1	2	6	2
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
329	500	226	197
1067	1657	1089	994
0	0	4	1
17	21	64	50
0	0	0	1
0	0	0	0
0	0	6	4
0	0	0	0
0	0	0	2
0	0	0	0
0	0	0	0
23	33	43	28
0	0	1	0
0	0	0	0
0	0	2	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
11	19	12	24
28	41	142	135
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
232	367	181	192
42	36	21	35
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	2
3	4	3	3
0	0	0	0
0	0	0	0
0	0	1	0
6	4	12	10
1	6	4	2
1	1	0	1
0	0	0	0
0	0	1	0
827	1182	1206	992
0	1	3	4
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
1	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
5	4	2	1
0	0	0	0
0	0	0	0
0	2	2	3
0	0	1	0
1	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
8	5	9	6
0	0	0	0
0	1	0	0
0	4	5	10
0	1	0	1
28	43	57	50
61	69	91	86
0	0	0	0
0	0	0	0
1073	1587	1501	1465
0	0	0	0
0	0	0	0
2	2	1	0
44	65	36	43
237	355	330	330
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
